Book Title,Cleaned?,Author Last Name,Author First/Middle,Book Series,Vol. #,Cover Type,Category,Condition,Date Purchased,Source,Seller,Order #,Thriftbooks Price,Purchase Price,Our Price,Profit Est.,Author Fullname,Pulled to Read
Midnight Voices,TRUE,Saul,John,,,Paper,Mainstream,Like New,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Nathaniel,TRUE,Saul,John,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
The Unloved,TRUE,Saul,John,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Comes the Blind Fury,TRUE,Saul,John,,,Paper,PFH/Vintage,Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
The Devil's Labyrinth,TRUE,Saul,John,,,Paper,Mainstream,Like New,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Black Lightning,TRUE,Saul,John,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Hellfire,TRUE,Saul,John,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Punish the Sinners,TRUE,Saul,John,,,Paper,PFH/Vintage,Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Nightshade,TRUE,Saul,John,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Black Creek Crossing,TRUE,Saul,John,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Cry for the Strangers,TRUE,Saul,John,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Brainchild,TRUE,Saul,John,,,Paper,PFH/Vintage,Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
The Unwanted,TRUE,Saul,John,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Faces of Fear,TRUE,Saul,John,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
The Presence,TRUE,Saul,John,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Sleepwalk,TRUE,Saul,John,,,Paper,PFH/Vintage,Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
When the Wind Blows,TRUE,Saul,John,,,Paper,PFH/Vintage,Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
The Manhattan Hunt Club,TRUE,Saul,John,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,John Saul,FALSE
Bethany's Sin,TRUE,McCammon,Robert R.,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,Robert R. McCammon,FALSE
Blue World,FALSE,McCammon,Robert R.,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,Robert R. McCammon,TRUE
Swan Song,FALSE,McCammon,Robert R.,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,Robert R. McCammon,TRUE
The Night Bout,TRUE,McCammon,Robert R.,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,Robert R. McCammon,FALSE
Stinger,FALSE,McCammon,Robert R.,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,Robert R. McCammon,TRUE
Usher's Passing,FALSE,McCammon,Robert R.,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_PFH,,$1.38,,,Robert R. McCammon,TRUE
Floating Dragon,TRUE,Straub,Peter,,,Paper,PFH/Vintage,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Peter Straub,FALSE
A Special Place,TRUE,Straub,Peter,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Peter Straub,FALSE
Poe's Children,TRUE,Straub,Peter,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Peter Straub,FALSE
The Witching Hour,TRUE,Rice,Anne,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Anne Rice,FALSE
Lasher,TRUE,Rice,Anne,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Anne Rice,FALSE
Taltos,TRUE,Rice,Anne,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Anne Rice,FALSE
Hearts in Atlantis,TRUE,King,Stephen,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Stephen King,TRUE
Salem's Lot,TRUE,King,Stephen,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Stephen King,TRUE
Four Past Midnight,TRUE,King,Stephen,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Stephen King,FALSE
Misery,TRUE,King,Stephen,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Stephen King,FALSE
From a Buick 8,TRUE,King,Stephen,,,Paper,Mainstream,Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Stephen King,FALSE
The Talisman,TRUE,King,Stephen,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Stephen King,FALSE
Danse Macabre,TRUE,King,Stephen,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Stephen King,FALSE
Kingdom of Fear,TRUE,Authors,Various,,,Paper,Mainstream,Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Various Authors,FALSE
Stephen King: The Art of Darkness,TRUE,Winter,Douglas E.,,,Paper,Mainstream,Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Douglas E. Winter,FALSE
The Diary of Ellen Rimbauer: My Life at Rose Red,TRUE,Reardon,Joyce,,,Paper,Mainstream,Very Good,11/5/2025,pangoBooks,MyBrothersBooks,24N-PEL_MS,,$2.57,,,Joyce Reardon,FALSE
The Right Hand of Evil,FALSE,Saul,John,,,Hard,PFH/Vintage,Very Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,John Saul,FALSE
The Descent,FALSE,Long,Jeff,,,Hard,Mainstream,Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,Jeff Long,FALSE
Black Creek Crossing,FALSE,Saul,John,,,Hard,Mainstream,Very Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,John Saul,FALSE
Black Creek Crossing,FALSE,Saul,John,,,Hard,Mainstream,Very Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,John Saul,FALSE
Club Dead,TRUE,Harris,Charlaine,,,Paper,YA/Nostalgia,Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,Charlaine Harris,FALSE
Small Favor,TRUE,Butcher,Jim,The Dresden Files,,Paper,Mainstream,Very Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,Jim Butcher,FALSE
The Fall of the House of Cabal,FALSE,Howard,Jonathan L.,,,Hard,Mainstream,Very Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,Jonathan L. Howard,FALSE
Dorian,FALSE,Self,Will,,,Hard,Mainstream,Very Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,Will Self,FALSE
Hideaway,TRUE,Koontz,Dean R.,,,Paper,Mainstream,Very Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,Dean R. Koontz,FALSE
The Wheel of Darkness,FALSE,Preston + Child,Douglas + Lincoln,,,Hard,Mainstream,Very Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,Douglas + Lincoln Preston + Child,FALSE
The Oath,FALSE,Peretti,Frank,,,Hard,Mainstream,Very Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,Frank Peretti,FALSE
Don't Look Back,FALSE,Hurwitz,Gregg,,,Hard,Mainstream,Very Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,Gregg Hurwitz,FALSE
The Tresspassers,TRUE,Snyder,Zilpha Keatley,,,Paper,YA/Nostalgia,Very Good,11/9/2025,Library,Forsyth County Central,WS-25-11-09-LS,,$0.38,,,Zilpha Keatley Snyder,FALSE
Wounds,FALSE,Jefferson,Jemiah,,,Paper,PFH/Vintage,Very Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,Jemiah Jefferson,FALSE
Peaceable Kingdom,FALSE,Ketchum,Jack,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,Jack Ketchum,FALSE
The Girl Next Door,FALSE,Ketchum,Jack,,,Paper,PFH/Vintage,Very Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,Jack Ketchum,FALSE
Quenched,FALSE,Mitchell,Mary Ann,,,Paper,PFH/Vintage,Acceptable,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,Mary Ann Mitchell,FALSE
The Lake,FALSE,Laymon,Richard,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,Richard Laymon,FALSE
Blood Red,FALSE,Moore,James A,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,James A Moore,FALSE
Sips of Blood,FALSE,Mitchell,Mary Ann,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,Mary Ann Mitchell,FALSE
Black Evening,FALSE,Morrell,David,,,Paper,Mainstream,Very Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,David Morrell,FALSE
Welcome to the Black Night,FALSE,Massie,Elizabeth,,,Paper,PFH/Vintage,Very Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,Elizabeth Massie,FALSE
Bestiary,FALSE,Masello,Robert,,,Paper,Mainstream,Very Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,Robert Masello,FALSE
Black Dawn,FALSE,Stern,D.A.,,,Paper,PFH/Vintage,Very Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,D.A. Stern,FALSE
Come out Tonight,FALSE,Laymon,Richard,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,Richard Laymon,FALSE
Traveling Vampire Show,FALSE,Laymon,Richard,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,Richard Laymon,FALSE
In the Name of the Vampire,FALSE,Mitchell,Mary Ann,,,Paper,PFH/Vintage,Very Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,Mary Ann Mitchell,FALSE
Night in the Lonesome October,FALSE,Laymon,Richard,,,Paper,PFH/Vintage,Good,11/1/2025,eBay,porkchop_express_video,09-13779-44430,,$2.59,,,Richard Laymon,FALSE
Prodigal Son,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/4/2025,pangoBooks,,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
City of Night,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
Winter Moon,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
Tick Tock,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Very Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
Whispers,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
Velocity,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
False Memory,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
Intensity,TRUE,Koontz,Dean R.,,,Paper,Mainstream,Very Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
Shadowfires,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Acceptable,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
Odd Thomas,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
Peregrine,FALSE,Bayer,William,,,Paper,PFH/Vintage,Very Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,William Bayer,FALSE
Cul-De-Sac,FALSE,Martin,David,,,Paper,PFH/Vintage,Very Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,David Martin,FALSE
Forever Odd,TRUE,Koontz,Dean R.,Odd Thomas,,Paper,Mainstream,Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
Brother Odd,FALSE,Koontz,Dean R.,Odd Thomas,,Paper,Mainstream,Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
Odd Hours,FALSE,Koontz,Dean R.,Odd Thomas,,Hard,Mainstream,Very Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
You Come When I Call You,FALSE,Clegg,Douglas,,,Paper,PFH/Vintage,Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Douglas Clegg,FALSE
Hannibal,FALSE,Harris,Thomas,Hannibal,,Paper,Mainstream,Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Thomas Harris,FALSE
Demon Seed,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
Phantoms,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Dean R. Koontz,FALSE
The Amityville Horror,FALSE,Anson,Jay,,,Hard,PFH/Vintage,Acceptable,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$1.21,,,Jay Anson,FALSE
Deeply Odd,FALSE,Koontz,Dean R.,Odd Thomas,,Audiobook,Comics/Ephemera,Acceptable,11/4/2025,pangoBooks,Rocky’s Shop,FKC-BPK,,$0.00,,,Dean R. Koontz,FALSE
Watchers,TRUE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/10/2025,Library,Del Webb Library,DW-25-11-10-LS,,$0.38,,,Dean R. Koontz,FALSE
Intensity,FALSE,Koontz,Dean R.,,,Hard,Mainstream,Very Good,11/10/2025,Library,Del Webb Library,DW-25-11-10-LS,,$0.38,,,Dean R. Koontz,FALSE
Cold Fire,TRUE,Koontz,Dean R.,,,Hard,Mainstream,Very Good,11/10/2025,Library,Del Webb Library,DW-25-11-10-LS,,$0.38,,,Dean R. Koontz,FALSE
Hideaway,FALSE,Koontz,Dean R.,,,Hard,Mainstream,Good,11/10/2025,Library,Del Webb Library,DW-25-11-10-LS,,$0.38,,,Dean R. Koontz,FALSE
Twilight Eyes,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/10/2025,Library,Del Webb Library,DW-25-11-10-LS,,$0.38,,,Dean R. Koontz,FALSE
The Return,FALSE,Little,Bentley,,,Hard,PFH/Vintage,Very Good,11/10/2025,Library,Del Webb Library,DW-25-11-10-LS,,$0.38,,,Bentley Little,FALSE
Gone Girl,FALSE,Flynn,Gillian,,,Hard,Mainstream,Very Good,11/10/2025,Library,Del Webb Library,DW-25-11-10-LS,,$0.38,,,Gillian Flynn,FALSE
The Grimm Conclusion,FALSE,Gidwitz,Adam,,,Hard,YA/Nostalgia,Very Good,11/10/2025,Library,Del Webb Library,DW-25-11-10-LS,,$0.38,,,Adam Gidwitz,FALSE
The True Tale of the Monster Billy Dean Hisself,FALSE,Almond,David,,,Hard,YA/Nostalgia,Very Good,11/10/2025,Library,Del Webb Library,DW-25-11-10-LS,,$0.38,,,David Almond,FALSE
Skin Game,FALSE,Butcher,Jim,The Dresden Files,,Hard,Mainstream,Very Good,11/10/2025,Library,Del Webb Library,DW-25-11-10-LS,,$0.38,,,Jim Butcher,FALSE
Are You in the House Alone?,FALSE,Peck,Richard,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Richard Peck,FALSE
Downsiders,FALSE,Shusterman,Neal,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Neal Shusterman,FALSE
Castle,FALSE,Nix,Garth,The Seventh Tower,2,Paper,YA/Nostalgia,Very Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Garth Nix,FALSE
Tithe,TRUE,Black,Holly,,,Paper,YA/Nostalgia,Very Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Holly Black,FALSE
Monster Mix,FALSE,Seuling,Barbara,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Barbara Seuling,FALSE
Legacy of Lies and Don't Tell,FALSE,Chandler,Elizabeth,Dark Secrets,1,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Elizabeth Chandler,FALSE
Don't Look Behind You,FALSE,Duncan,Lois,,,Paper,YA/Nostalgia,Acceptable,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Lois Duncan,FALSE
Full Tilt,FALSE,Shusterman,Neal,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Neal Shusterman,FALSE
A Break with Charity,FALSE,Rinaldi,Ann,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Ann Rinaldi,FALSE
The Watch House,FALSE,Westall,Robert,,,Paper,YA/Nostalgia,Very Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Robert Westall,FALSE
Clone Codes,FALSE,McKissack,McKissack,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,McKissack McKissack,FALSE
The Dark Hills Divide,FALSE,Carman,Patrick,The Land of Elyon,1,Paper,YA/Nostalgia,Acceptable,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Patrick Carman,FALSE
Deltora Quest,FALSE,Rodda,Emily,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Emily Rodda,FALSE
Zombiekins,FALSE,Bolger,Kevin,,,Paper,YA/Nostalgia,Very Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Kevin Bolger,FALSE
The Mystery of the Silver Spider,FALSE,Arthur,Robert,The Three Investigators,8,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Robert Arthur,FALSE
True Ghost Stories,FALSE,Dowswell,Paul,,,Paper,YA/Nostalgia,Very Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Paul Dowswell,FALSE
The Collector,FALSE,Alexander,K.R.,,,Paper,YA/Nostalgia,Very Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,K.R. Alexander,FALSE
The Fall,FALSE,Nix,Garth,The Seventh Tower,1,Paper,YA/Nostalgia,Very Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Garth Nix,FALSE
Closed for the Season,FALSE,Hahn,Mary Downing,,,Paper,YA/Nostalgia,Very Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Mary Downing Hahn,FALSE
Midnight Howl,FALSE,Hutton,Clare,Poison Apple,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Clare Hutton,FALSE
I Left My Sneakers in Dimension X,FALSE,Coville,Bruce,,,Paper,YA/Nostalgia,Acceptable,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Bruce Coville,FALSE
The Mystery of the Shrinking House,FALSE,Arden,William,The Three Investigators,18,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,William Arden,FALSE
Class Trip to the Haunted House,FALSE,Jones,Marcia Thornton,Ghostville Elementary,10,Paper,YA/Nostalgia,Very Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Marcia Thornton Jones,FALSE
The Ghosts of War,FALSE,Cohen,Daniel,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Daniel Cohen,FALSE
Ghost Game,FALSE,Jones,Marcia Thornton,Ghostville Elementary,2,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Marcia Thornton Jones,FALSE
"Montmorency: Thief, Liar, or Gentleman?",FALSE,Updale,Eleanor,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Eleanor Updale,FALSE
The Secret in the Attic,FALSE,Miles,Ellen,7 Sister Mysteries,1,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Ellen Miles,FALSE
,FALSE,,,,,,,,,,,,,,,,,
Blood and Chocolate,FALSE,Klause,Annette Curtis,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Annette Curtis Klause,FALSE
The Howl-oween Party,FALSE,Williams,Karen,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Karen Williams,FALSE
Super Scary Stories for Sleepovers,FALSE,Pearce,Q.L.,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Q.L. Pearce,FALSE
Monster of Lake Lobo,FALSE,Nickel,Scott,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Scott Nickel,FALSE
Weekend,FALSE,Pike,Christopher,,,Paper,YA/Nostalgia,Acceptable,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Christopher Pike,FALSE
The Face on the Milk Carton,FALSE,Cooney,Caroline B.,Bantam Starfire,,Paper,YA/Nostalgia,Acceptable,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Caroline B. Cooney,FALSE
Code Orange,FALSE,Cooney,Caroline B.,,,Paper,YA/Nostalgia,Very Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Caroline B. Cooney,FALSE
The Wave,FALSE,Strasser,Todd,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Todd Strasser,FALSE
Whatever Happened to Janie,FALSE,Cooney,Caroline B.,,,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Caroline B. Cooney,FALSE
Ghost Host,FALSE,Singer,Marilyn,,,Paper,YA/Nostalgia,Acceptable,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Marilyn Singer,FALSE
Haunted Houses,FALSE,Stone,Adam,,,Hard,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Adam Stone,FALSE
A Wind in the Door,FALSE,L'Engle,Madeleine,,,Paper,YA/Nostalgia,Acceptable,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Madeleine L'Engle,FALSE
Trick or Treat in Utah,FALSE,James,Eric,,,Hard,YA/Nostalgia,Very Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Eric James,FALSE
Ninth Grade Slays,FALSE,Brewer,Heather,The Chronicles of Vladimir Tod,2,Hard,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Heather Brewer,FALSE
The Weirdo,FALSE,Taylor,Theodore,,,Hard,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Theodore Taylor,FALSE
Upside Down Magic,FALSE,Mlynowski,Sarah,,,Hard,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Sarah Mlynowski,FALSE
Magic can be Murder,FALSE,Velde,Vivian Vande,,,Hard,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Vivian Vande Velde,FALSE
Monster Road,FALSE,Lubar,David,,,Paper,YA/Nostalgia,Acceptable,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,David Lubar,FALSE
The Grimm Legacy,FALSE,Shulman,Polly,,,Paper,YA/Nostalgia,Acceptable,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Polly Shulman,FALSE
More Scary Stories to Tell in the Dark,FALSE,Schwartz,Alvin,,,Paper,YA/Nostalgia,Acceptable,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Alvin Schwartz,FALSE
The Girl in the Locked Room,FALSE,Hahn,Mary Downing,,,Paper,YA/Nostalgia,Acceptable,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Mary Downing Hahn,FALSE
The Secret of Skeleton Island,FALSE,Arthur,Robert,The Three Investigators,6,Paper,YA/Nostalgia,Good,11/4/2025,eBay,bookcapitol,19-13776-98520,,$1.06,,,Robert Arthur,FALSE
